Current Title,Description,Complexity
sup213a,Letter to Trustee lodging complaint where Fund/Insurer has refused to accept claim to pay interest,Simple
sup213a,Email to Trustee lodging complaint where Fund/Insurer has refused to accept claim to pay interest,Simple
sup087b,Letter to Trustee of Fund or Insurer confirming medical appointment(s),Simple
sup087b,Email to Trustee of Fund or Insurer confirming medical appointment(s),Simple
sup108,Letter to Trustees chasing decision within 28 days,Simple
sup108,Email to Trustees chasing decision within 28 days,Simple
sup110,Letter to Trustees chasing decision within 7 days,Simple
sup110,Email to Trustees chasing decision within 7 days,Simple
sup135,Letter to Trustees chasing information/documentation previously requested,Simple
sup135,Email to Trustees chasing information/documentation previously requested,Simple
sup077a,Letter to Trustees enclosing documents – superannuation/insurance disability claim,Moderate
sup077a,Email to Trustees enclosing documents – superannuation/insurance disability claim,Moderate
sup212,Letter to Trustees enclosing roll-over documents,Simple
sup212,Email to Trustees enclosing roll-over documents,Simple
sup207a,Letter to Trustees for payout of disability lump sum – enclosing completed benefit payout form,Simple
sup207a,Email to Trustees for payout of disability lump sum – enclosing completed benefit payout form,Simple
sup130a,Letter to Trustees of the Fund seeking a review of the second rejection of client’s – Medical report,Simple
sup130a,Email to Trustees of the Fund seeking a review of the second rejection of client’s – Medical report,Simple
sup051,Letter to Trustees of the Superannuation Fund advising client subject to s.43 Administration Order,Simple
sup051,Email to Trustees of the Superannuation Fund advising client subject to s.43 Administration Order,Simple
sup053,Letter to Trustees of the Superannuation Fund or Insurance Company making application for disability,Simple
sup053,Email to Trustees of the Superannuation Fund or Insurance Company making application for disability,Simple
sup086a,Letter to Trustees of the Superannuation fund or Insurer enclosing documents – superannuation claim,Simple
sup086a,Email to Trustees of the Superannuation fund or Insurer enclosing documents – superannuation claim,Simple
sup206b,Letter to Trustees or Insurance company for payment of death benefit lump sum,Simple
sup206b,Email to Trustees or Insurance company for payment of death benefit lump sum,Simple
sup206a,Letter to Trustees or Insurance company for payment of disability lump sum,Simple
sup206a,Email to Trustees or Insurance company for payment of disability lump sum,Simple
sup210,Letter to Trustees regarding pending roll-over instructions,Simple
sup210,Email to Trustees regarding pending roll-over instructions,Simple
sup125,"Letter to trustees, no first decn within reasonable period, lodgmnt of complaint, med reports encl",Simple
sup125,"Email to trustees, no first decn within reasonable period, lodgmnt of complaint, med reports encl",Simple
sup115,Letter to Trustees/Insurer requesting further info/docs re rejection of client's claim,Simple
sup115,Email to Trustees/Insurer requesting further info/docs re rejection of client's claim,Simple
suplit025,Letter to witness advising hearing has been refixed - witnesses advised of hearing only,Simple
suplit025,Email to witness advising hearing has been refixed - witnesses advised of hearing only,Simple
suplit024,Letter to witness with subpoena requesting attendance at Court,Simple
suplit024,Email to witness with subpoena requesting attendance at Court,Simple
sup627,Letter to Workers Comp requesting copy of documentation relating to workers compensation claim,Simple
sup627,Email to Workers Comp requesting copy of documentation relating to workers compensation claim,Simple
sup279,Letter to Workers Compensation Insurer applying for GLI,Simple
sup279,Email to Workers Compensation Insurer applying for GLI,Simple
sup092d,List of potential full time light duties,Simple
sup530,Litigation - Letter to client enclosing bill and trust account statement,Simple
sup539,Litigation cost agreement cover letter,Simple
suplit02,Litigation costs agreement cover letter,Moderate
suplit01,Litigation Non Engagement Letter,Simple
sup644,Memo to litigation: SLE date review,Simple
sup205,Memo to referring WorkCover or TAC Solicitor advising claim successful,Simple
sup048,Memo to referring WorkCover/TAC solicitor - client has asked us to make a super/insurance claim,Simple
sup593,Memorandum to Brisbane Costing,Simple
sup594,Memorandum to costs consultant,Simple
MB_Priv_Policy,National MB Privacy Policy,Simple
vpi452,Notice for Discovery,Simple
sup566,Permanent transfer of a file within the firm (checklist),Simple
tac431,Plaintiff's Answers to Interrogatories (includes option to create Draft Answers),Simple
sup117b,Procedural Fair Ltr to clt adv Fund provided us copy of med evid they rely on to assess clm rqt dec,Simple
sup117a,"Procedural Fairnes Ltr to Trustees advsg clt has no fur evid to submit, req a response in 28 days",Simple
sup334,QLD Costs Agreement - Public Trustee QLD,Complex
sup334a,QLD Disclosure Notice - Public Trustee QLD,Complex
sup284,Referral sheet to Financial Advisor,Simple
sup596,Request for RCC Tax Invoices,Simple
suplit72,Rule 444 Letter (Qld),Simple
suplit49,Settlement Instructions,Simple
sup129a,Settlement Instructions - VIC Superannuation Disability Claim - Supreme or County Court,Simple
sup598,State Trustees Costs Agreement,Complex
sup599,Statement by client,Simple
vstatdec,Statutory Declaration,Simple
sup045a,Takeover letter to client confirming instructions to lodge complaint,Simple
sup287,Terminal Illness - Letter to doctor re Medical Attendant’s Statement,Simple
sup288,Terminal Illness – Letter to specialist re Medical Attendant’s Statement,Simple
finform8,Transit money form,Simple
finform13,Trust Payment Form (Cheque and local EFT),Simple
sup546,VIC County Court - Consent Orders to extend timetable,Simple
suplit67,Vic Sup County Consent Orders Dismissing Proceeding (matter settled),Simple
sup138a,VIC Sup/County Crt - Backsheet and Brief to Counsel to advise,Simple
suplit05,VIC Sup/County Crt - Backsheet and Brief to Counsel to advise,Simple
sup138b,VIC Sup/County Crt - Backsheet and Brief to Counsel to draw Statement of Claim – general,Simple
sup407a,VIC Sup/County Crt - Brief and Memo to Counsel to appear at Mediation,Simple
sup402c,VIC Sup/County Crt - Consent Orders,Simple
sup408b,VIC Sup/County Crt - Order 44 Witness Statement of medico-legal,Simple
sup408a,VIC Sup/County Crt - Order 44 Witness Statement of treating doctor,Simple
sup404,VIC Sup/County Crt - Plaintiff's Affidavit of Documents,Simple
sup406,VIC Sup/County Crt - Shell Brief and Memo to Counsel,Simple
sup460a,VIC Sup/County Crt Affidavit of Service by MB staff member,Simple
sup559,VIC UL NWNF Complaint and possible Court Procdgs after FP Claim Costs Agreement and Disc Stmnt,Complex
sup550,VIC UL NWNF Comprehensive - FP & Claim & Scale Costs Agreement and Disclosure Statement,Complex
sup557,VIC UL NWNF Court Proceedings after Fixed Price Claim,Complex
sup556,VIC UL NWNF Fixed Price Claim and possible Court proceeding Costs Agreement and Disclosure Statement,Complex
sup553,VIC UL NWNF Fixed Price Claim and Scale for Complaint Costs Agreement and Disclosure Statement,Complex
sup554,VIC UL NWNF Fixed Price Small Claims and Terminally ill Costs Agreement and Disclosure Statement,Complex
sup555,"VIC UL NWNF Takeover, Conclusion of Claim and possible Complaint Costs Agreement and Discl Statement",Complex
sup558,"VIC UL NWNF Takeover, Conclusion of Claim and possible Court Procdgs Costs Agreement and Disc Stmnt",Complex
WELSREF,WELS Referral,Simple
sup025,WorkCover Authority,Simple
sup403b,Writ - Generally endorsed - Vic Supreme/County Courts,Simple
sup661,Write off Request,Simple
finform6,Write-Off Form for Billing,Simple
sup660,Write-off Response - Approved,Simple
